@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE PrevDayHAMarketClearingPrice NUMERIC
@ATTRIBUTE PrevHAMarketClearingPrice NUMERIC
@ATTRIBUTE CloudCoverage NUMERIC
@ATTRIBUTE Temperature NUMERIC
@ATTRIBUTE WSpeed NUMERIC
@ATTRIBUTE WDirection NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA

0,0,23,23,10,2016,4,1,0.0,0.0,0.839,10.0,226.0,7.37,13.09230032516703
0,0,22,23,10,2016,4,1,0.0,13.09230032516703,0.829,9.7,228.0,7.27,31.193702826376928
0,0,21,23,10,2016,4,1,0.0,31.193702826376928,0.833,10.0,226.0,6.95,31.477511834340774
0,0,20,23,10,2016,4,1,0.0,31.477511834340774,0.82,10.1,226.0,6.9,31.574076404394198
0,0,19,23,10,2016,4,1,0.0,31.574076404394198,0.822,9.8,224.0,6.92,31.816652621794752
0,0,18,23,10,2016,4,1,0.0,31.816652621794752,0.832,10.3,220.0,6.85,32.080718298008605
0,0,17,23,10,2016,4,1,0.0,32.080718298008605,0.805,9.9,217.0,6.66,34.15958279807498
0,0,16,23,10,2016,4,1,0.0,34.15958279807498,0.829,10.5,215.0,6.4,34.240918595505946
0,0,15,23,10,2016,4,1,0.0,34.240918595505946,0.821,10.5,212.0,6.79,34.305683484584534
0,0,14,23,10,2016,4,1,0.0,34.305683484584534,0.8,10.6,210.0,7.05,34.05298827365728
0,0,13,23,10,2016,4,1,0.0,34.05298827365728,0.77,10.7,208.0,6.84,34.37911179738589
0,0,12,23,10,2016,4,1,0.0,34.37911179738589,0.771,11.2,210.0,6.98,34.32489862842827
0,0,0,23,10,2016,4,1,0.0,0.0,0.835,12.5,216.0,8.07,34.63671868086552
