HourAhead,Action,Count,avgmcp,count,Err
0,0,1,43.03342754942059,0,0.35173217007044405
0,1,0,43.03342754942059,0,0.35173217007044405
0,2,0,43.03342754942059,0,0.35173217007044405
0,3,0,43.03342754942059,0,0.35173217007044405
0,4,0,43.03342754942059,0,0.35173217007044405
0,5,0,43.03342754942059,0,0.35173217007044405
0,6,0,43.03342754942059,0,0.35173217007044405
0,7,0,43.03342754942059,0,0.35173217007044405
0,8,0,43.03342754942059,0,0.35173217007044405
0,9,0,43.03342754942059,0,0.35173217007044405
0,10,0,43.03342754942059,0,0.35173217007044405
0,11,0,43.03342754942059,0,0.35173217007044405
0,12,0,43.03342754942059,0,0.35173217007044405
0,13,0,43.03342754942059,0,0.35173217007044405
0,14,0,43.03342754942059,0,0.35173217007044405
0,15,0,43.03342754942059,0,0.35173217007044405
1,0,1,43.11000907851146,0,33.89288478514077
1,1,0,43.11000907851146,0,33.89288478514077
1,2,0,43.11000907851146,0,33.89288478514077
1,3,0,43.11000907851146,0,33.89288478514077
1,4,0,43.11000907851146,0,33.89288478514077
1,5,0,43.11000907851146,0,33.89288478514077
1,6,0,43.11000907851146,0,33.89288478514077
1,7,0,43.11000907851146,0,33.89288478514077
1,8,0,43.11000907851146,0,33.89288478514077
1,9,0,43.11000907851146,0,33.89288478514077
1,10,0,43.11000907851146,0,33.89288478514077
1,11,0,43.11000907851146,0,33.89288478514077
1,12,0,43.11000907851146,0,33.89288478514077
1,13,0,43.11000907851146,0,33.89288478514077
1,14,0,43.11000907851146,0,33.89288478514077
1,15,0,43.11000907851146,0,33.89288478514077
2,0,1,3.8170936225914516,1,91.09873466522099
2,1,0,3.8170936225914516,1,91.09873466522099
2,2,0,3.8170936225914516,1,91.09873466522099
2,3,0,3.8170936225914516,1,91.09873466522099
2,4,0,3.8170936225914516,1,91.09873466522099
2,5,0,3.8170936225914516,1,91.09873466522099
2,6,0,3.8170936225914516,1,91.09873466522099
2,7,0,3.8170936225914516,1,91.09873466522099
2,8,0,3.8170936225914516,1,91.09873466522099
2,9,0,3.8170936225914516,1,91.09873466522099
2,10,0,3.8170936225914516,1,91.09873466522099
2,11,0,3.8170936225914516,1,91.09873466522099
2,12,0,3.8170936225914516,1,91.09873466522099
2,13,0,3.8170936225914516,1,91.09873466522099
2,14,0,3.8170936225914516,1,91.09873466522099
2,15,0,3.8170936225914516,1,91.09873466522099
3,0,1,43.180536771108066,0,17.082227383342275
3,1,0,43.180536771108066,0,17.082227383342275
3,2,0,43.180536771108066,0,17.082227383342275
3,3,0,43.180536771108066,0,17.082227383342275
3,4,0,43.180536771108066,0,17.082227383342275
3,5,0,43.180536771108066,0,17.082227383342275
3,6,0,43.180536771108066,0,17.082227383342275
3,7,0,43.180536771108066,0,17.082227383342275
3,8,0,43.180536771108066,0,17.082227383342275
3,9,0,43.180536771108066,0,17.082227383342275
3,10,0,43.180536771108066,0,17.082227383342275
3,11,0,43.180536771108066,0,17.082227383342275
3,12,0,43.180536771108066,0,17.082227383342275
3,13,0,43.180536771108066,0,17.082227383342275
3,14,0,43.180536771108066,0,17.082227383342275
3,15,0,43.180536771108066,0,17.082227383342275
4,0,1,41.46354306226331,0,12.42667043877836
4,1,0,41.46354306226331,0,12.42667043877836
4,2,0,41.46354306226331,0,12.42667043877836
4,3,0,41.46354306226331,0,12.42667043877836
4,4,0,41.46354306226331,0,12.42667043877836
4,5,0,41.46354306226331,0,12.42667043877836
4,6,0,41.46354306226331,0,12.42667043877836
4,7,0,41.46354306226331,0,12.42667043877836
4,8,0,41.46354306226331,0,12.42667043877836
4,9,0,41.46354306226331,0,12.42667043877836
4,10,0,41.46354306226331,0,12.42667043877836
4,11,0,41.46354306226331,0,12.42667043877836
4,12,0,41.46354306226331,0,12.42667043877836
4,13,0,41.46354306226331,0,12.42667043877836
4,14,0,41.46354306226331,0,12.42667043877836
4,15,0,41.46354306226331,0,12.42667043877836
5,0,1,41.52440144084391,0,12.591685398108895
5,1,0,41.52440144084391,0,12.591685398108895
5,2,0,41.52440144084391,0,12.591685398108895
5,3,0,41.52440144084391,0,12.591685398108895
5,4,0,41.52440144084391,0,12.591685398108895
5,5,0,41.52440144084391,0,12.591685398108895
5,6,0,41.52440144084391,0,12.591685398108895
5,7,0,41.52440144084391,0,12.591685398108895
5,8,0,41.52440144084391,0,12.591685398108895
5,9,0,41.52440144084391,0,12.591685398108895
5,10,0,41.52440144084391,0,12.591685398108895
5,11,0,41.52440144084391,0,12.591685398108895
5,12,0,41.52440144084391,0,12.591685398108895
5,13,0,41.52440144084391,0,12.591685398108895
5,14,0,41.52440144084391,0,12.591685398108895
5,15,0,41.52440144084391,0,12.591685398108895
6,0,1,41.22545878222337,0,11.781114827466755
6,1,0,41.22545878222337,0,11.781114827466755
6,2,0,41.22545878222337,0,11.781114827466755
6,3,0,41.22545878222337,0,11.781114827466755
6,4,0,41.22545878222337,0,11.781114827466755
6,5,0,41.22545878222337,0,11.781114827466755
6,6,0,41.22545878222337,0,11.781114827466755
6,7,0,41.22545878222337,0,11.781114827466755
6,8,0,41.22545878222337,0,11.781114827466755
6,9,0,41.22545878222337,0,11.781114827466755
6,10,0,41.22545878222337,0,11.781114827466755
6,11,0,41.22545878222337,0,11.781114827466755
6,12,0,41.22545878222337,0,11.781114827466755
6,13,0,41.22545878222337,0,11.781114827466755
6,14,0,41.22545878222337,0,11.781114827466755
6,15,0,41.22545878222337,0,11.781114827466755
7,0,1,40.77793478780053,0,10.567672151840386
7,1,0,40.77793478780053,0,10.567672151840386
