@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA

0,0,24,23,10,2016,2,5,23.78370902674714
0,0,23,23,10,2016,2,5,32.469061868226746
0,0,22,23,10,2016,2,5,19.710642321356488
0,0,21,23,10,2016,2,5,29.23237815238014
0,0,20,23,10,2016,2,5,34.27621906786247
0,0,19,23,10,2016,2,5,36.34318766205956
0,0,18,23,10,2016,2,5,31.556198324894677
0,0,17,23,10,2016,2,5,30.315684376488374
0,0,16,23,10,2016,2,5,22.94785039297774
0,0,15,23,10,2016,2,5,28.952428215452922
0,0,14,23,10,2016,2,5,24.75547297888678
0,0,13,23,10,2016,2,5,30.38795722109739
0,0,12,23,10,2016,2,5,30.923128079068526
0,0,11,23,10,2016,2,5,26.108572815292508
0,0,10,23,10,2016,2,5,25.07259974960593
0,0,9,23,10,2016,2,5,31.092794559291672
0,0,8,23,10,2016,2,5,27.523776293572205
0,0,7,23,10,2016,2,5,27.19041747393942
0,0,6,23,10,2016,2,5,33.15085155984887
0,0,5,23,10,2016,2,5,34.361589735105724
0,0,4,23,10,2016,2,5,27.904875817134982
0,0,3,23,10,2016,2,5,27.12587674658624
0,0,2,23,10,2016,2,5,29.20048917441734
0,0,1,23,10,2016,2,5,26.905647471408034
0,0,0,23,10,2016,2,5,27.37835392723679
1,1,24,23,10,2016,2,5,21.629797472459877
1,1,23,23,10,2016,2,5,26.70257037120332
1,1,20,23,10,2016,2,5,29.20920489555173
1,1,19,23,10,2016,2,5,27.400197229317328
1,1,18,23,10,2016,2,5,24.15204277791585
1,1,16,23,10,2016,2,5,25.731630452159177
1,1,15,23,10,2016,2,5,21.78084762852905
1,1,14,23,10,2016,2,5,28.873929137591162
1,1,12,23,10,2016,2,5,24.765687964417815
1,1,11,23,10,2016,2,5,22.748448329621006
1,1,9,23,10,2016,2,5,24.67699884281255
