Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer0,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer1(RES),Producer2,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer3(RES),Producer4,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,25000,	168,10,ZI,167000.00,-3377282.29,-20.22,0.00,0.00,0.00,-83128.83,-3377282.29,-3460411.12,99.40,ZIP,166679.48,-3273218.19,-19.64,0.00,0.00,0.00,-111816.34,-3273218.19,-3385034.53,99.21,SPOT,166691.13,-3262110.53,-19.57,0.00,0.00,0.00,-109127.31,-3262110.53,-3371237.83,99.22,MCTSX,199518.78,-3964743.42,-19.87,780.00,18055.33,23.15,-2758455.95,-3946688.09,-6705144.04,118.76,varMCTSAgent10000,199474.64,-3949474.89,-19.80,840.00,17659.33,21.02,-2749369.60,-3931815.56,-6681185.16,118.73,-750062.59,2786384.19,-61490433.22,598708.02,3187014.96,Mean Clearing Price,24.347532938787065
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer0,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer1(RES),Producer2,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer3(RES),Producer4,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,50000,	168,10,ZI,166000.00,-3321767.61,-20.01,0.00,0.00,0.00,-167234.22,-3321767.61,-3489001.83,98.81,ZIP,166601.66,-3255517.55,-19.54,0.00,0.00,0.00,-116552.42,-3255517.55,-3372069.97,99.17,SPOT,166677.63,-3256823.58,-19.54,0.00,0.00,0.00,-110303.05,-3256823.58,-3367126.62,99.21,MCTSX,200032.52,-3968024.56,-19.84,1280.00,31352.26,24.49,-2759630.96,-3936672.30,-6696303.26,119.07,varMCTSAgent10000,199402.54,-3947058.30,-19.79,1000.00,21428.84,21.43,-2728148.10,-3925629.46,-6653777.56,118.69,-772984.30,2830541.96,-61667576.56,612676.60,3124185.79,Mean Clearing Price,24.147871109137498
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer0,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer1(RES),Producer2,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer3(RES),Producer4,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,100,	168,10,ZI,166000.00,-3303500.58,-19.90,0.00,0.00,0.00,-167234.22,-3303500.58,-3470734.80,98.81,ZIP,166151.90,-3247494.55,-19.55,0.00,0.00,0.00,-159035.73,-3247494.55,-3406530.28,98.90,SPOT,166749.40,-3263972.47,-19.57,0.00,0.00,0.00,-104244.43,-3263972.47,-3368216.90,99.26,MCTSX,200830.42,-4049734.49,-20.16,2160.00,50753.43,23.50,-2755084.77,-3998981.06,-6754065.83,119.54,varMCTSAgent10000,201152.15,-4029691.08,-20.03,1800.00,42728.31,23.74,-2811664.61,-3986962.76,-6798627.37,119.73,-714524.09,2869982.25,-61573569.78,565045.40,3126956.26,Mean Clearing Price,24.160254202108245
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer0,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer1(RES),Producer2,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer3(RES),Producer4,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,100,	1,0,ZI,1000.00,-23338.55,-23.34,0.00,0.00,0.00,-0.00,-23338.55,-23338.55,100.00,ZIP,1000.00,-23338.55,-23.34,0.00,0.00,0.00,-0.00,-23338.55,-23338.55,100.00,SPOT,1000.00,-23338.55,-23.34,0.00,0.00,0.00,-0.00,-23338.55,-23338.55,100.00,MCTSX,1200.00,-28006.26,-23.34,0.00,0.00,0.00,-17561.58,-28006.26,-45567.84,120.00,varMCTSAgent10000,1200.00,-28006.26,-23.34,0.00,0.00,0.00,-17561.58,-28006.26,-45567.84,120.00,34170.35,30992.74,-281616.76,8310.67,29155.53,Mean Clearing Price,23.338550276956695
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer0,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer1(RES),Producer2,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,Producer3(RES),Producer4,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,1000,	1,0,ZI,1000.00,-22241.13,-22.24,0.00,0.00,0.00,-0.00,-22241.13,-22241.13,100.00,ZIP,1000.00,-22241.13,-22.24,0.00,0.00,0.00,-0.00,-22241.13,-22241.13,100.00,SPOT,1000.00,-22241.13,-22.24,0.00,0.00,0.00,-0.00,-22241.13,-22241.13,100.00,MCTSX,1200.00,-26689.36,-22.24,0.00,0.00,0.00,-17561.58,-26689.36,-44250.94,120.00,varMCTSAgent10000,1200.00,-26689.36,-22.24,0.00,0.00,0.00,-17561.58,-26689.36,-44250.94,120.00,32563.60,29535.41,-282717.01,7919.89,27784.58,Mean Clearing Price,22.241130653427234
