1,1,10000,	168,24,ZI,2528.12,-92813.24,-36.71,0.00,0.00,0.00,-0.00,-92813.24,-92813.24,100.00,TacTex,2530.44,-89815.35,-35.49,0.00,0.00,0.00,-1630.91,-89815.35,-91446.25,100.09,MCTSX,2528.14,-90373.69,-35.75,0.00,0.00,0.00,-8.86,-90373.69,-90382.55,100.00,ZIP,2528.12,-92821.22,-36.72,0.00,0.00,0.00,-0.00,-92821.22,-92821.22,100.00,
START_SEED_NO,1,END_SEED_NO,1,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,RepTree-misobuyers.model,TOTAL_SIM_DAYS,1,HOURS_IN_A_DAY,1,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,1.0,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,true
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,10000,	1,24,ZI,15.05,-466.82,-31.02,0.00,0.00,0.00,-0.00,-466.82,-466.82,100.00,TacTex,15.07,-463.29,-30.75,0.00,0.00,0.00,-12.16,-463.29,-475.45,100.11,MCTSX,15.05,-462.90,-30.76,0.00,0.00,0.00,-0.00,-462.90,-462.90,100.00,ZIP,15.05,-467.34,-31.06,0.00,0.00,0.00,-0.00,-467.34,-467.34,100.00,
START_SEED_NO,1,END_SEED_NO,1,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,RepTree-misobuyers.model,TOTAL_SIM_DAYS,1,HOURS_IN_A_DAY,1,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,1.0,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,false
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,10000,	1,24,ZI,15.05,-457.26,-30.39,0.00,0.00,0.00,-0.00,-457.26,-457.26,100.00,TacTex,15.05,-458.15,-30.44,0.00,0.00,0.00,-0.30,-458.15,-458.45,100.00,MCTSX,15.05,-441.64,-29.35,0.00,0.00,0.00,-0.00,-441.64,-441.64,100.00,ZIP,15.05,-462.91,-30.76,0.00,0.00,0.00,-0.00,-462.91,-462.91,100.00,
START_SEED_NO,1,END_SEED_NO,1,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,RepTree-misobuyers.model,TOTAL_SIM_DAYS,1,HOURS_IN_A_DAY,1,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,1.0,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,false
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,10000,	1,24,ZI,15.05,-462.91,-30.76,0.00,0.00,0.00,-0.00,-462.91,-462.91,100.00,TacTex,15.05,-458.15,-30.44,0.00,0.00,0.00,-0.30,-458.15,-458.45,100.00,MCTSX,15.05,-441.48,-29.34,0.00,0.00,0.00,-0.00,-441.48,-441.48,100.00,ZIP,15.05,-462.91,-30.76,0.00,0.00,0.00,-0.00,-462.91,-462.91,100.00,
